# part, Chassis
# scenario, Step 4: Corner 2-3-5 @ 300.000m
# drop_mode, LTL
# drop_direction, Corner 2-3-5
# drop_height_m, 300.0000
# dims_mm, 1892, 1082, 35
# C1, 946.0, 541.0, 17.4
# C2, 946.0, -541.0, 17.4
# C3, -946.0, -541.0, 17.4
# C4, -946.0, 541.0, 17.4
# C5, 946.0, 541.0, -17.4
# C6, 946.0, -541.0, -17.4
# C7, -946.0, -541.0, -17.4
# C8, -946.0, 541.0, -17.4
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
42,0.287000,-0.943963,0.057816,301.338391,-0.943967,0.023012,301.340975,-0.009387,0.098088,301.882146,-0.009390,0.063284,301.884730,0.009457,-0.063270,299.708670,0.009454,-0.098074,299.711254,0.944034,-0.022998,300.252424,0.944030,-0.057802,300.255008
43,0.289000,-0.943960,0.057812,301.332914,-0.943964,0.023008,301.335498,-0.009381,0.098072,301.876666,-0.009385,0.063268,301.879249,0.009454,-0.063254,299.703188,0.009450,-0.098058,299.705771,0.944033,-0.022994,300.246939,0.944029,-0.057798,300.249523
44,0.291000,-0.943957,0.057809,301.327402,-0.943961,0.023004,301.329984,-0.009376,0.098056,301.871150,-0.009380,0.063252,301.873733,0.009451,-0.063237,299.697670,0.009447,-0.098041,299.700252,0.944031,-0.022990,300.241418,0.944028,-0.057794,300.244001
45,0.293000,-0.943954,0.057805,301.321853,-0.943958,0.023000,301.324435,-0.009370,0.098039,301.865599,-0.009374,0.063235,301.868181,0.009447,-0.063220,299.692115,0.009443,-0.098024,299.694698,0.944030,-0.022985,300.235861,0.944026,-0.057790,300.238444
46,0.295000,-0.943950,0.057801,301.316268,-0.943954,0.022997,301.318850,-0.009365,0.098023,301.860011,-0.009369,0.063218,301.862593,0.009444,-0.063202,299.686525,0.009440,-0.098007,299.689107,0.944029,-0.022981,300.230268,0.944025,-0.057785,300.232850
47,0.297000,-0.943947,0.057797,301.310648,-0.943951,0.022993,301.313229,-0.009359,0.098005,301.854388,-0.009363,0.063201,301.856969,0.009440,-0.063185,299.680899,0.009436,-0.097989,299.683481,0.944028,-0.022976,300.224639,0.944024,-0.057781,300.227221
48,0.299000,-0.943943,0.057793,301.304992,-0.943948,0.022989,301.307573,-0.009353,0.097988,301.848729,-0.009358,0.063184,301.851310,0.009437,-0.063167,299.675238,0.009432,-0.097971,299.677818,0.944027,-0.022972,300.218975,0.944022,-0.057776,300.221555
49,0.301000,-0.943940,0.057789,301.299301,-0.943944,0.022985,301.301880,-0.009347,0.097970,301.843034,-0.009352,0.063166,301.845614,0.009433,-0.063148,299.669540,0.009429,-0.097953,299.672120,0.944026,-0.022967,300.213274,0.944021,-0.057771,300.215854
50,0.303000,-0.943936,0.057785,301.293573,-0.943941,0.022980,301.296153,-0.009341,0.097952,301.837304,-0.009346,0.063148,301.839883,0.009430,-0.063129,299.663807,0.009425,-0.097934,299.666387,0.944024,-0.022962,300.207538,0.944020,-0.057767,300.210117
51,0.305000,-0.943932,0.057781,301.287810,-0.943937,0.022976,301.290389,-0.009335,0.097934,301.831538,-0.009340,0.063129,301.834117,0.009426,-0.063110,299.658038,0.009421,-0.097915,299.660617,0.944023,-0.022957,300.201766,0.944018,-0.057762,300.204344
52,0.307000,-0.943928,0.057777,301.282012,-0.943934,0.022972,301.284590,-0.009329,0.097915,301.825736,-0.009334,0.063111,301.828314,0.009422,-0.063091,299.652234,0.009417,-0.097895,299.654812,0.944022,-0.022952,300.195958,0.944017,-0.057757,300.198536
53,0.309000,-0.943925,0.057772,301.276178,-0.943930,0.022968,301.278756,-0.009322,0.097896,301.819899,-0.009327,0.063092,301.822477,0.009418,-0.063071,299.646394,0.009413,-0.097876,299.648971,0.944021,-0.022947,300.190114,0.944015,-0.057752,300.192692
54,0.311000,-0.943921,0.057768,301.270309,-0.943926,0.022963,301.272886,-0.009316,0.097877,301.814027,-0.009321,0.063072,301.816603,0.009414,-0.063051,299.640518,0.009409,-0.097855,299.643095,0.944019,-0.022942,300.184235,0.944014,-0.057747,300.186812
55,0.313000,-0.943917,0.057763,301.264405,-0.943922,0.022959,301.266981,-0.009309,0.097857,301.808119,-0.009315,0.063052,301.810695,0.009410,-0.063030,299.634607,0.009405,-0.097835,299.637183,0.944018,-0.022937,300.178321,0.944012,-0.057741,300.180897
56,0.315000,-0.943913,0.057759,301.258465,-0.943918,0.022954,301.261040,-0.009302,0.097837,301.802175,-0.009308,0.063032,301.804751,0.009406,-0.063009,299.628660,0.009400,-0.097814,299.631236,0.944017,-0.022931,300.172371,0.944011,-0.057736,300.174946
57,0.317000,-0.943908,0.057754,301.252490,-0.943914,0.022949,301.255064,-0.009295,0.097816,301.796196,-0.009301,0.063011,301.798771,0.009402,-0.062988,299.622678,0.009396,-0.097793,299.625253,0.944015,-0.022926,300.166385,0.944009,-0.057731,300.168960
58,0.319000,-0.943904,0.057750,301.246479,-0.943910,0.022945,301.249053,-0.009288,0.097795,301.790182,-0.009294,0.062990,301.792756,0.009398,-0.062966,299.616661,0.009392,-0.097771,299.619235,0.944014,-0.022920,300.160364,0.944008,-0.057725,300.162938
59,0.321000,-0.943900,0.057745,301.240433,-0.943906,0.022940,301.243007,-0.009281,0.097774,301.784133,-0.009287,0.062969,301.786706,0.009394,-0.062944,299.610608,0.009387,-0.097749,299.613182,0.944012,-0.022914,300.154308,0.944006,-0.057719,300.156881
60,0.323000,-0.943895,0.057740,301.234353,-0.943902,0.022935,301.236926,-0.009273,0.097752,301.778048,-0.009280,0.062947,301.780621,0.009389,-0.062921,299.604520,0.009382,-0.097726,299.607093,0.944011,-0.022909,300.148216,0.944004,-0.057714,300.150789
61,0.325000,-0.943891,0.057735,301.228237,-0.943898,0.022930,301.230809,-0.009266,0.097730,301.771929,-0.009273,0.062925,301.774501,0.009385,-0.062898,299.598397,0.009378,-0.097703,299.600969,0.944010,-0.022903,300.142089,0.944003,-0.057708,300.144661
62,0.327000,-0.943886,0.057730,301.222086,-0.943893,0.022925,301.224657,-0.009258,0.097708,301.765774,-0.009265,0.062903,301.768345,0.009380,-0.062875,299.592239,0.009373,-0.097680,299.594810,0.944008,-0.022897,300.135927,0.944001,-0.057702,300.138498
63,0.329000,-0.943882,0.057725,301.215900,-0.943889,0.022919,301.218471,-0.009251,0.097685,301.759584,-0.009258,0.062880,301.762154,0.009375,-0.062851,299.586045,0.009368,-0.097656,299.588616,0.944007,-0.022891,300.129729,0.943999,-0.057696,300.132300
64,0.331000,-0.943877,0.057719,301.209679,-0.943884,0.022914,301.212249,-0.009243,0.097662,301.753359,-0.009250,0.062856,301.755929,0.009371,-0.062827,299.579817,0.009363,-0.097632,299.582387,0.944005,-0.022884,300.123497,0.943997,-0.057690,300.126066
65,0.333000,-0.943872,0.057714,301.203424,-0.943880,0.022909,301.205993,-0.009235,0.097638,301.747099,-0.009242,0.062833,301.749668,0.009366,-0.062802,299.573553,0.009358,-0.097607,299.576122,0.944003,-0.022878,300.117229,0.943996,-0.057683,300.119798
66,0.335000,-0.943867,0.057709,301.197133,-0.943875,0.022903,301.199701,-0.009227,0.097614,301.740804,-0.009235,0.062808,301.743373,0.009361,-0.062777,299.567255,0.009353,-0.097582,299.569823,0.944002,-0.022872,300.110926,0.943994,-0.057677,300.113494
67,0.337000,-0.943862,0.057703,301.190808,-0.943870,0.022898,301.193375,-0.009218,0.097589,301.734475,-0.009226,0.062784,301.737042,0.009356,-0.062751,299.560921,0.009348,-0.097557,299.563489,0.944000,-0.022865,300.104588,0.943992,-0.057671,300.107156
68,0.339000,-0.943857,0.057697,301.184447,-0.943866,0.022892,301.187014,-0.009210,0.097564,301.728110,-0.009218,0.062759,301.730677,0.009351,-0.062725,299.554553,0.009343,-0.097531,299.557119,0.943998,-0.022858,300.098215,0.943990,-0.057664,300.100782
69,0.341000,-0.943852,0.057692,301.178053,-0.943861,0.022886,301.180618,-0.009201,0.097539,301.721711,-0.009210,0.062733,301.724277,0.009346,-0.062699,299.548150,0.009337,-0.097504,299.550715,0.943997,-0.022852,300.091808,0.943988,-0.057657,300.094374
70,0.343000,-0.943847,0.057686,301.171623,-0.943856,0.022880,301.174188,-0.009193,0.097513,301.715277,-0.009201,0.062707,301.717842,0.009341,-0.062672,299.541712,0.009332,-0.097477,299.544276,0.943995,-0.022845,300.085365,0.943986,-0.057650,300.087930
71,0.345000,-0.943841,0.057680,301.165159,-0.943851,0.022874,301.167723,-0.009184,0.097487,301.708808,-0.009193,0.062681,301.711372,0.009335,-0.062644,299.535239,0.009326,-0.097450,299.537803,0.943993,-0.022838,300.078888,0.943984,-0.057643,300.081452
72,0.347000,-0.943836,0.057674,301.158660,-0.943845,0.022868,301.161224,-0.009175,0.097460,301.702305,-0.009184,0.062654,301.704868,0.009330,-0.062616,299.528731,0.009321,-0.097422,299.531294,0.943991,-0.022831,300.072376,0.943982,-0.057636,300.074939
73,0.349000,-0.943831,0.057668,301.152127,-0.943840,0.022862,301.154689,-0.009165,0.097433,301.695767,-0.009175,0.062627,301.698329,0.009324,-0.062588,299.522189,0.009315,-0.097394,299.524751,0.943990,-0.022823,300.065829,0.943980,-0.057629,300.068391
74,0.351000,-0.943825,0.057662,301.145559,-0.943835,0.022856,301.148121,-0.009156,0.097405,301.689194,-0.009166,0.062599,301.691756,0.009319,-0.062559,299.515612,0.009309,-0.097365,299.518174,0.943988,-0.022816,300.059247,0.943978,-0.057622,300.061808
75,0.353000,-0.943819,0.057655,301.138957,-0.943829,0.022849,301.141518,-0.009147,0.097377,301.682587,-0.009157,0.062571,301.685148,0.009313,-0.062530,299.509001,0.009303,-0.097336,299.511562,0.943986,-0.022808,300.052631,0.943976,-0.057614,300.055191
