# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
68,0.135000,0.114871,-0.133970,0.418694,-0.921487,-0.088836,1.021956,-0.114890,0.014295,2.399913,0.921468,-0.030839,1.796651,0.114870,-0.014305,0.409739,-0.921488,0.030830,1.013001,-0.114891,0.133960,2.390958,0.921467,0.088826,1.787696
69,0.137000,0.114871,-0.133969,0.416081,-0.921487,-0.088836,1.019344,-0.114890,0.014293,2.397300,0.921468,-0.030840,1.794038,0.114869,-0.014304,0.407126,-0.921489,0.030829,1.010388,-0.114891,0.133958,2.388345,0.921467,0.088826,1.785083
70,0.139000,0.114870,-0.133968,0.413431,-0.921488,-0.088836,1.016694,-0.114889,0.014291,2.394650,0.921468,-0.030840,1.791388,0.114868,-0.014303,0.404476,-0.921489,0.030829,1.007739,-0.114891,0.133957,2.385695,0.921467,0.088825,1.782432
71,0.141000,0.114869,-0.133967,0.410744,-0.921488,-0.088837,1.014008,-0.114889,0.014290,2.391964,0.921468,-0.030840,1.788700,0.114868,-0.014302,0.401789,-0.921489,0.030829,1.005053,-0.114890,0.133955,2.383009,0.921467,0.088825,1.779745
72,0.143000,0.114869,-0.133966,0.408021,-0.921488,-0.088837,1.011285,-0.114888,0.014288,2.389241,0.921469,-0.030841,1.785976,0.114867,-0.014301,0.399066,-0.921490,0.030828,1.002330,-0.114890,0.133953,2.380286,0.921467,0.088824,1.777022
73,0.145000,0.114868,-0.133965,0.405260,-0.921488,-0.088837,1.008525,-0.114888,0.014286,2.386480,0.921469,-0.030841,1.783216,0.114867,-0.014299,0.396306,-0.921490,0.030828,0.999570,-0.114890,0.133952,2.377526,0.921467,0.088824,1.774261
74,0.147000,0.114868,-0.133964,0.402463,-0.921488,-0.088838,1.005728,-0.114887,0.014284,2.383684,0.921469,-0.030842,1.780419,0.114866,-0.014298,0.393509,-0.921490,0.030828,0.996774,-0.114889,0.133950,2.374729,0.921467,0.088824,1.771464
75,0.149000,0.114868,-0.133963,0.399630,-0.921488,-0.088838,1.002895,-0.114887,0.014282,2.380850,0.921469,-0.030842,1.777585,0.114866,-0.014297,0.390675,-0.921490,0.030828,0.993941,-0.114889,0.133948,2.371896,0.921467,0.088823,1.768630
76,0.151000,0.114867,-0.133961,0.396759,-0.921489,-0.088838,1.000026,-0.114886,0.014280,2.377981,0.921470,-0.030843,1.774714,0.114865,-0.014296,0.387805,-0.921490,0.030827,0.991072,-0.114888,0.133946,2.369027,0.921468,0.088822,1.765760
77,0.153000,0.114867,-0.133960,0.393853,-0.921489,-0.088838,0.997120,-0.114886,0.014278,2.375074,0.921470,-0.030844,1.771807,0.114865,-0.014295,0.384899,-0.921491,0.030827,0.988166,-0.114888,0.133944,2.366121,0.921468,0.088822,1.762853
78,0.155000,0.114866,-0.133959,0.390910,-0.921489,-0.088839,0.994178,-0.114885,0.014276,2.372132,0.921470,-0.030844,1.768864,0.114864,-0.014293,0.381956,-0.921491,0.030827,0.985224,-0.114887,0.133942,2.363178,0.921468,0.088821,1.759910
79,0.157000,0.114865,-0.133958,0.387930,-0.921489,-0.088839,0.991199,-0.114884,0.014274,2.369153,0.921470,-0.030845,1.765884,0.114863,-0.014292,0.378977,-0.921491,0.030827,0.982246,-0.114886,0.133940,2.360199,0.921468,0.088821,1.756930
