# chassis, 1600, 1200, 120
# start time, 0.0
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
36,0.071000,-0.800001,-0.599999,0.935112,-0.799999,0.600001,0.935115,0.800001,0.599998,0.935115,0.799999,-0.600002,0.935113,-0.800001,-0.599998,0.815112,-0.799999,0.600002,0.815115,0.800001,0.599999,0.815115,0.799999,-0.600001,0.815113
37,0.073000,-0.800001,-0.599999,0.933707,-0.799999,0.600001,0.933710,0.800001,0.599998,0.933710,0.799999,-0.600002,0.933707,-0.800001,-0.599998,0.813707,-0.799999,0.600002,0.813710,0.800001,0.599999,0.813710,0.799999,-0.600001,0.813707
38,0.075000,-0.800001,-0.599999,0.932263,-0.799999,0.600001,0.932267,0.800001,0.599998,0.932267,0.799999,-0.600002,0.932264,-0.800001,-0.599998,0.812263,-0.799999,0.600002,0.812267,0.800001,0.599999,0.812267,0.799999,-0.600001,0.812264
39,0.077000,-0.800001,-0.599999,0.930782,-0.799999,0.600001,0.930786,0.800001,0.599998,0.930787,0.799999,-0.600002,0.930782,-0.800001,-0.599998,0.810782,-0.799999,0.600002,0.810786,0.800001,0.599999,0.810787,0.799999,-0.600001,0.810782
40,0.079000,-0.800001,-0.599999,0.929263,-0.799999,0.600001,0.929268,0.800001,0.599998,0.929268,0.799999,-0.600002,0.929263,-0.800001,-0.599998,0.809263,-0.799999,0.600002,0.809268,0.800001,0.599999,0.809268,0.799999,-0.600001,0.809263
41,0.081000,-0.800001,-0.599999,0.927705,-0.799999,0.600001,0.927711,0.800001,0.599998,0.927711,0.799999,-0.600002,0.927706,-0.800001,-0.599998,0.807705,-0.799999,0.600002,0.807711,0.800001,0.599999,0.807711,0.799999,-0.600001,0.807706
42,0.083000,-0.800001,-0.599999,0.926110,-0.799999,0.600001,0.926117,0.800001,0.599998,0.926117,0.799999,-0.600002,0.926111,-0.800001,-0.599998,0.806110,-0.799999,0.600002,0.806117,0.800001,0.599999,0.806117,0.799999,-0.600001,0.806111
43,0.085000,-0.800001,-0.599999,0.924477,-0.799999,0.600001,0.924485,0.800001,0.599998,0.924485,0.799999,-0.600002,0.924478,-0.800001,-0.599998,0.804477,-0.799999,0.600002,0.804485,0.800001,0.599999,0.804485,0.799999,-0.600001,0.804478
44,0.087000,-0.800001,-0.599999,0.922807,-0.799999,0.600001,0.922815,0.800001,0.599998,0.922816,0.799999,-0.600002,0.922807,-0.800001,-0.599998,0.802807,-0.799999,0.600002,0.802815,0.800001,0.599999,0.802816,0.799999,-0.600001,0.802807
45,0.089000,-0.800001,-0.599999,0.921099,-0.799999,0.600001,0.921108,0.800001,0.599998,0.921108,0.799999,-0.600002,0.921099,-0.800001,-0.599998,0.801099,-0.799999,0.600002,0.801108,0.800001,0.599999,0.801108,0.799999,-0.600001,0.801099
46,0.091000,-0.800001,-0.599999,0.919353,-0.799999,0.600001,0.919363,0.800001,0.599998,0.919363,0.799999,-0.600002,0.919353,-0.800001,-0.599998,0.799353,-0.799999,0.600002,0.799363,0.800001,0.599999,0.799363,0.799999,-0.600001,0.799353
47,0.093000,-0.800001,-0.599999,0.917569,-0.799999,0.600001,0.917581,0.800001,0.599998,0.917581,0.799999,-0.600002,0.917570,-0.800001,-0.599998,0.797569,-0.799999,0.600002,0.797581,0.800001,0.599999,0.797581,0.799999,-0.600001,0.797570
48,0.095000,-0.800001,-0.599999,0.915748,-0.799999,0.600001,0.915761,0.800001,0.599998,0.915762,0.799999,-0.600002,0.915749,-0.800001,-0.599998,0.795748,-0.799999,0.600002,0.795761,0.800001,0.599999,0.795762,0.799999,-0.600001,0.795749
49,0.097000,-0.800001,-0.599999,0.913890,-0.799999,0.600001,0.913904,0.800001,0.599998,0.913904,0.799999,-0.600002,0.913891,-0.800001,-0.599998,0.793890,-0.799999,0.600002,0.793904,0.800001,0.599999,0.793904,0.799999,-0.600001,0.793891
50,0.099000,-0.800001,-0.599999,0.911994,-0.799999,0.600001,0.912009,0.800001,0.599998,0.912010,0.799999,-0.600002,0.911995,-0.800001,-0.599998,0.791994,-0.799999,0.600002,0.792009,0.800001,0.599999,0.792010,0.799999,-0.600001,0.791995
51,0.101000,-0.800001,-0.599999,0.910061,-0.799999,0.600001,0.910078,0.800001,0.599998,0.910078,0.799999,-0.600002,0.910061,-0.800001,-0.599998,0.790061,-0.799999,0.600002,0.790078,0.800001,0.600000,0.790078,0.799999,-0.600000,0.790061
52,0.103000,-0.800001,-0.599999,0.908090,-0.799999,0.600001,0.908109,0.800001,0.599998,0.908109,0.799999,-0.600002,0.908091,-0.800001,-0.599998,0.788090,-0.799999,0.600002,0.788109,0.800001,0.600000,0.788109,0.799999,-0.600000,0.788091
53,0.105000,-0.800001,-0.599999,0.906083,-0.799999,0.600001,0.906103,0.800001,0.599998,0.906103,0.799999,-0.600002,0.906083,-0.800001,-0.599997,0.786083,-0.799999,0.600003,0.786103,0.800001,0.600000,0.786103,0.799999,-0.600000,0.786083
54,0.107000,-0.800001,-0.600000,0.904037,-0.799999,0.600000,0.904059,0.800001,0.599998,0.904060,0.799999,-0.600002,0.904038,-0.800001,-0.599997,0.784037,-0.799999,0.600003,0.784059,0.800001,0.600000,0.784060,0.799999,-0.600000,0.784038
