# chassis, 1600, 1200, 120
# start time, 1.2
# C1, 1600, 1200, 120
# C2, 1600, -1200, 120
# C3, -1600, -1200, 120
# C4, -1600, 1200, 120
# C5, 1600, 1200, -120
# C6, 1600, -1200, -120
# C7, -1600, -1200, -120
# C8, -1600, 1200, -120
Frame,Time,C1_X,C1_Y,C1_Z,C2_X,C2_Y,C2_Z,C3_X,C3_Y,C3_Z,C4_X,C4_Y,C4_Z,C5_X,C5_Y,C5_Z,C6_X,C6_Y,C6_Z,C7_X,C7_Y,C7_Z,C8_X,C8_Y,C8_Z
42,0.083000,0.921443,-0.088763,1.076491,-0.114973,-0.133907,0.473329,-0.921438,-0.030903,1.851372,0.114978,0.014241,2.454534,0.921438,0.030903,1.067543,-0.114978,-0.014241,0.464381,-0.921443,0.088763,1.842424,0.114973,0.133907,2.445586
43,0.085000,0.921443,-0.088763,1.074837,-0.114973,-0.133907,0.471675,-0.921438,-0.030903,1.849718,0.114978,0.014240,2.452880,0.921438,0.030903,1.065889,-0.114978,-0.014241,0.462727,-0.921443,0.088763,1.840771,0.114973,0.133906,2.443933
44,0.087000,0.921443,-0.088763,1.073144,-0.114973,-0.133906,0.469982,-0.921438,-0.030903,1.848026,0.114978,0.014240,2.451188,0.921438,0.030903,1.064197,-0.114978,-0.014240,0.461035,-0.921443,0.088763,1.839078,0.114973,0.133906,2.442240
45,0.089000,0.921443,-0.088763,1.071413,-0.114973,-0.133906,0.468251,-0.921438,-0.030903,1.846295,0.114978,0.014240,2.449456,0.921438,0.030903,1.062465,-0.114978,-0.014240,0.459303,-0.921443,0.088763,1.837347,0.114973,0.133906,2.440509
46,0.091000,0.921443,-0.088763,1.069642,-0.114973,-0.133906,0.466480,-0.921438,-0.030903,1.844524,0.114978,0.014239,2.447686,0.921438,0.030903,1.060695,-0.114978,-0.014240,0.457533,-0.921443,0.088763,1.835577,0.114973,0.133905,2.438739
47,0.093000,0.921443,-0.088763,1.067833,-0.114973,-0.133905,0.464671,-0.921438,-0.030903,1.842715,0.114978,0.014239,2.445877,0.921438,0.030903,1.058885,-0.114978,-0.014239,0.455724,-0.921443,0.088763,1.833768,0.114973,0.133905,2.436929
48,0.095000,0.921443,-0.088763,1.065985,-0.114973,-0.133905,0.462823,-0.921438,-0.030903,1.840867,0.114978,0.014238,2.444029,0.921438,0.030903,1.057037,-0.114978,-0.014239,0.453876,-0.921443,0.088763,1.831920,0.114973,0.133904,2.435081
49,0.097000,0.921443,-0.088763,1.064097,-0.114973,-0.133904,0.460936,-0.921438,-0.030903,1.838980,0.114978,0.014238,2.442142,0.921438,0.030903,1.055150,-0.114978,-0.014238,0.451989,-0.921443,0.088763,1.830033,0.114973,0.133904,2.433194
50,0.099000,0.921443,-0.088763,1.062171,-0.114973,-0.133904,0.459010,-0.921438,-0.030903,1.837054,0.114979,0.014237,2.440216,0.921438,0.030903,1.053224,-0.114978,-0.014238,0.450063,-0.921443,0.088763,1.828107,0.114974,0.133903,2.431268
51,0.101000,0.921443,-0.088763,1.060206,-0.114974,-0.133903,0.457045,-0.921438,-0.030903,1.835090,0.114979,0.014237,2.438251,0.921438,0.030903,1.051259,-0.114979,-0.014237,0.448098,-0.921443,0.088763,1.826142,0.114974,0.133903,2.429304
