Frame,Time,C5_pos_X,C6_pos_X,C7_pos_X,C8_pos_X,C5_pos_Y,C6_pos_Y,C7_pos_Y,C8_pos_Y,C5_pos_Z,C6_pos_Z,C7_pos_Z,C8_pos_Z
67,0.159600,1.036363,-0.000064,-0.000070,1.036356,-0.132359,-0.177480,0.000025,0.045146,0.794891,0.191746,0.178477,0.781623
68,0.162000,1.036362,-0.000064,-0.000070,1.036356,-0.132359,-0.177478,0.000026,0.045146,0.791255,0.188110,0.174842,0.777987
69,0.164400,1.036362,-0.000065,-0.000071,1.036356,-0.132358,-0.177477,0.000028,0.045146,0.787568,0.184424,0.171155,0.774300
70,0.166800,1.036362,-0.000066,-0.000071,1.036356,-0.132358,-0.177475,0.000030,0.045147,0.783829,0.180686,0.167418,0.770561
71,0.169200,1.036362,-0.000066,-0.000072,1.036356,-0.132358,-0.177473,0.000032,0.045147,0.780039,0.176896,0.163629,0.766772
72,0.171600,1.036361,-0.000067,-0.000073,1.036356,-0.132358,-0.177471,0.000034,0.045147,0.776198,0.173056,0.159789,0.762931
73,0.174000,1.036361,-0.000068,-0.000074,1.036356,-0.132358,-0.177469,0.000036,0.045147,0.772306,0.169165,0.155898,0.759039
74,0.176400,1.036361,-0.000069,-0.000074,1.036356,-0.132358,-0.177467,0.000038,0.045147,0.768363,0.165222,0.151956,0.755096
75,0.178800,1.036360,-0.000070,-0.000075,1.036355,-0.132358,-0.177465,0.000040,0.045147,0.764368,0.161229,0.147963,0.751102
76,0.181200,1.036360,-0.000071,-0.000076,1.036355,-0.132357,-0.177462,0.000043,0.045148,0.760323,0.157185,0.143919,0.747057
77,0.183600,1.036360,-0.000072,-0.000077,1.036355,-0.132357,-0.177460,0.000045,0.045148,0.756227,0.153090,0.139824,0.742961
78,0.186000,1.036359,-0.000073,-0.000078,1.036355,-0.132357,-0.177457,0.000048,0.045148,0.752080,0.148944,0.135679,0.738815
79,0.188400,1.036359,-0.000074,-0.000079,1.036355,-0.132357,-0.177455,0.000050,0.045148,0.747882,0.144748,0.131483,0.734618
80,0.190800,1.036359,-0.000075,-0.000080,1.036355,-0.132357,-0.177452,0.000053,0.045148,0.743634,0.140500,0.127236,0.730370
81,0.193200,1.036359,-0.000077,-0.000081,1.036355,-0.132357,-0.177449,0.000056,0.045148,0.739335,0.136203,0.122939,0.726071
82,0.195600,1.036359,-0.000078,-0.000081,1.036355,-0.132357,-0.177446,0.000059,0.045148,0.734985,0.131854,0.118591,0.721721
83,0.198000,1.036358,-0.000079,-0.000082,1.036355,-0.132357,-0.177443,0.000063,0.045148,0.730584,0.127455,0.114192,0.717321
84,0.200400,1.036358,-0.000080,-0.000083,1.036355,-0.132357,-0.177439,0.000066,0.045148,0.726133,0.123005,0.109743,0.712871
85,0.202800,1.036359,-0.000081,-0.000084,1.036356,-0.132357,-0.177436,0.000069,0.045148,0.721631,0.118504,0.105242,0.708369
86,0.205200,1.036359,-0.000081,-0.000084,1.036356,-0.132357,-0.177432,0.000073,0.045148,0.717078,0.113953,0.100691,0.703817
87,0.207600,1.036359,-0.000082,-0.000085,1.036357,-0.132357,-0.177428,0.000077,0.045148,0.712474,0.109351,0.096090,0.699213
88,0.210000,1.036359,-0.000083,-0.000085,1.036357,-0.132358,-0.177425,0.000081,0.045148,0.707819,0.104697,0.091437,0.694559
89,0.212400,1.036360,-0.000084,-0.000085,1.036358,-0.132358,-0.177421,0.000085,0.045147,0.703114,0.099993,0.086734,0.689854
90,0.214800,1.036361,-0.000084,-0.000085,1.036359,-0.132359,-0.177416,0.000089,0.045147,0.698357,0.095238,0.081979,0.685098
91,0.217200,1.036362,-0.000084,-0.000085,1.036361,-0.132360,-0.177412,0.000093,0.045146,0.693549,0.090432,0.077174,0.680291
92,0.219600,1.036363,-0.000085,-0.000085,1.036362,-0.132360,-0.177408,0.000098,0.045145,0.688690,0.085574,0.072317,0.675432
93,0.222000,1.036364,-0.000085,-0.000085,1.036364,-0.132361,-0.177403,0.000102,0.045144,0.683779,0.080666,0.067409,0.670522
94,0.224400,1.036365,-0.000085,-0.000085,1.036365,-0.132362,-0.177399,0.000107,0.045144,0.678817,0.075706,0.062451,0.665561
95,0.226800,1.036366,-0.000086,-0.000085,1.036367,-0.132363,-0.177395,0.000111,0.045142,0.673805,0.070697,0.057442,0.660550
96,0.229200,1.036367,-0.000087,-0.000085,1.036369,-0.132365,-0.177390,0.000115,0.045141,0.668743,0.065638,0.052383,0.655488
97,0.231600,1.036369,-0.000087,-0.000085,1.036371,-0.132366,-0.177387,0.000119,0.045140,0.663629,0.060527,0.047273,0.650375
98,0.234000,1.036372,-0.000086,-0.000083,1.036374,-0.132367,-0.177383,0.000123,0.045139,0.658465,0.055364,0.042111,0.645212
99,0.236400,1.036375,-0.000083,-0.000080,1.036378,-0.132369,-0.177379,0.000127,0.045137,0.653249,0.050150,0.036897,0.639996
100,0.238800,1.036379,-0.000080,-0.000077,1.036382,-0.132371,-0.177375,0.000131,0.045135,0.647981,0.044883,0.031631,0.634729
101,0.241200,1.036383,-0.000077,-0.000073,1.036387,-0.132373,-0.177372,0.000134,0.045133,0.642660,0.039564,0.026312,0.629409
102,0.243600,1.036388,-0.000074,-0.000069,1.036393,-0.132375,-0.177368,0.000138,0.045131,0.637286,0.034192,0.020941,0.624036
103,0.246000,1.036394,-0.000069,-0.000064,1.036399,-0.132378,-0.177365,0.000141,0.045128,0.631860,0.028768,0.015518,0.618610
104,0.248400,1.036400,-0.000065,-0.000059,1.036406,-0.132380,-0.177362,0.000144,0.045126,0.626381,0.023291,0.010042,0.613131
105,0.250800,1.036407,-0.000060,-0.000054,1.036413,-0.132383,-0.177359,0.000148,0.045124,0.620849,0.017763,0.004514,0.607600
106,0.253200,1.036413,-0.000056,-0.000049,1.036420,-0.132386,-0.177355,0.000151,0.045121,0.615266,0.012183,-0.001065,0.602018
107,0.255600,1.036419,-0.000053,-0.000045,1.036427,-0.132389,-0.177353,0.000154,0.045118,0.609632,0.006553,-0.006694,0.596385
108,0.258000,1.036404,-0.000090,-0.000086,1.036408,-0.132375,-0.177389,0.000117,0.045130,0.604570,0.001531,-0.011725,0.591313
109,0.260400,1.036382,-0.000135,-0.000142,1.036375,-0.132159,-0.177243,0.000263,0.045347,0.600331,-0.002661,-0.015920,0.587071
